,from_cluster,to_cluster,tokens_n,chars_n,from_cluster_chars_n,to_cluster_chars_n,from_cluster_tokens_n,to_cluster_tokens_n,from_cluster_in_degree,to_cluster_in_degree,from_cluster_out_degree,to_cluster_out_degree,from_cluster_law_names,to_cluster_law_names,from_cluster_bipartite,to_cluster_bipartite,chars_n_fraction_of_from_cluster,chars_n_fraction_of_to_cluster,tokens_n_fraction_of_from_cluster,tokens_n_fraction_of_to_cluster,event_category
186,1994_137,1995_139,5759,35351,37483,37483,6097,6097,0,1,1,1,"130_1994,48","130_1995,48",1994,1995,0.9431208814662647,0.9431208814662647,0.9445628997867804,0.9445628997867804,stasis
187,1994_138,1995_138,5194,31275,34501,34415,5680,5680,0,1,1,2,"100_1994,21","100_1995,21",1994,1995,0.9064954638995971,0.908760714804591,0.9144366197183098,0.9144366197183098,stasis
188,1994_139,1995_28,17790,111802,118517,377439,18787,57831,0,4,1,2,"070_1994,154","070_1995,273,160_1995,10,490_1995,8",1994,1995,0.9433414615624762,0.2962121031477934,0.9469313887262468,0.30762048036520206,growth
190,1994_141,1995_156,9096,56427,60886,60886,9777,9777,0,1,1,1,"150_1994,16,430_1994,12","150_1995,16,430_1995,12",1994,1995,0.9267647735111519,0.9267647735111519,0.9303467321264192,0.9303467321264192,stasis
192,1994_143,1995_13,6360,39370,47754,769549,7681,125494,0,6,1,2,"150_1994,16","150_1995,228,300_1995,38,160_1995,22,100_1995,19,490_1995,18,260_1995,14,280_1995,5",1994,1995,0.8244335553042677,0.051159835176187614,0.8280171852623356,0.05067971377117631,merge
193,1994_144,1995_158,5219,33274,41120,40791,6409,6356,0,1,1,1,"420_1994,13,150_1994,12","420_1995,13,150_1995,12",1994,1995,0.8091926070038911,0.8157191537348925,0.8143236074270557,0.8211139081183134,stasis
194,1994_145,1995_160,44589,283424,347637,346147,54581,54330,0,1,1,1,"150_1994,68,200_1994,60","150_1995,68,200_1995,60",1994,1995,0.8152872105098133,0.8187966384224044,0.8169326322346604,0.8207067918277194,stasis
197,1994_148,1995_79,7290,45650,58169,132829,9267,21603,0,2,1,2,"220_1994,12,150_1994,9","070_1995,19,020_1995,12,220_1995,12,150_1995,9,260_1995,2",1994,1995,0.7847822723443759,0.34367495050026725,0.78666235027517,0.33745313150951256,growth
207,1994_158,1995_169,8080,49377,52543,52543,8575,8575,0,1,1,1,"180_1994,14,280_1994,6","180_1995,14,280_1995,6",1994,1995,0.9397445901452144,0.9397445901452144,0.9422740524781341,0.9422740524781341,stasis
208,1994_159,1995_88,5140,32441,36257,81209,5727,13185,0,2,1,1,"380_1994,24","380_1995,44",1994,1995,0.8947513583583859,0.3994754276003891,0.8975030557010651,0.38983693591202123,merge
209,1994_160,1995_144,26402,158285,179372,179131,29810,29776,0,1,1,2,"380_1994,50","380_1995,50",1994,1995,0.8824398456838303,0.8836270662252764,0.8856759476685676,0.886687264911338,stasis
210,1994_161,1995_88,6778,40562,44952,81209,7458,13185,0,2,1,1,"380_1994,20","380_1995,44",1994,1995,0.9023402740701192,0.4994766589909985,0.9088227406811478,0.5140690178232841,merge
213,1994_163,1995_145,6380,42108,46025,46025,6971,6971,0,1,1,1,"160_1994,22","160_1995,22",1994,1995,0.9148940793047257,0.9148940793047257,0.9152201979629895,0.9152201979629895,stasis
215,1994_165,1995_148,6409,42087,45397,45397,6863,6863,0,1,1,1,"430_1994,43,160_1994,14","430_1995,43,160_1995,14",1994,1995,0.9270876930193626,0.9270876930193626,0.9338481713536354,0.9338481713536354,stasis
216,1994_166,1995_152,5712,34728,45455,45455,7429,7429,0,1,1,1,"050_1994,23,200_1994,7","050_1995,23,200_1995,7",1994,1995,0.7640083599164008,0.7640083599164008,0.7688787185354691,0.7688787185354691,stasis
217,1994_167,1995_153,6979,42482,46797,46778,7655,7661,0,1,1,1,"180_1994,21,050_1994,18","180_1995,21,050_1995,18",1994,1995,0.9077932346090561,0.9081619564752661,0.9116917047681254,0.9109776791541574,stasis
218,1994_168,1995_187,7595,45162,48182,48738,8078,8174,0,1,1,2,"360_1994,81","360_1995,82",1994,1995,0.9373209912415424,0.9266280930690631,0.9402079722703639,0.9291656471739662,stasis
222,1994_172,1995_186,12924,79665,80021,80022,12956,12956,0,1,1,1,"210_1994,73,070_1994,13","210_1995,73,070_1995,13",1994,1995,0.9955511678184477,0.9955387268501162,0.9975301018832973,0.9975301018832973,stasis
232,1994_182,1995_181,15681,101410,109360,109360,16886,16886,0,1,1,1,"420_1994,68","420_1995,68",1994,1995,0.9273043160204828,0.9273043160204828,0.9286391093213313,0.9286391093213313,stasis
233,1994_183,1995_183,7145,46481,52538,52538,8039,8039,0,1,1,1,"420_1994,25","420_1995,25",1994,1995,0.884712017967947,0.884712017967947,0.8887921383256624,0.8887921383256624,stasis
